,City,Lat-Long 1,Lat-Long 2,Box size
0,"('Tokyo', 'Japan')","('20.2145811', '135.8536855')","('35.8984245', '154.205541')",2496.436641636278 km
1,"('Jakarta', 'Indonesia')","('-6.3744575', '106.3146732')","('-4.9993635', '106.973975')",168.69362794649751 km
2,"('Delhi', 'India')","('28.4917178', '77.0619388')","('28.8117178', '77.3819388')",47.291836588056604 km
3,"('Mumbai', 'India')","('18.8939566', '72.776333')","('19.2701767', '72.9797315')",46.82418675013535 km
4,"('Manila', 'Philippines')","('14.5568913', '120.9416919')","('14.6390027', '121.0261672')",12.860379353471139 km
5,"('Shanghai', 'China')","('31.0722758', '121.3092071')","('31.3922758', '121.6292071')",46.77872606466853 km
6,"('São Paulo', 'Brazil')","('-24.0079003', '-46.8262906')","('-23.3577551', '-46.3650898')",86.01045049040911 km
7,"('Seoul', 'Korea, South')","('37.4285424', '126.7644328')","('37.7013911', '127.1835519')",47.83484540387112 km
8,"('Mexico City', 'Mexico')","('19.0487187', '-99.3649242')","('19.5927572', '-98.9403028')",74.95313190344096 km
9,"('Guangzhou', 'China')","('22.5176916', '112.9533692')","('23.9356557', '114.0547646')",193.30496286711892 km
10,"('Beijing', 'China')","('39.746217', '116.2312757')","('40.066217', '116.5512757')",44.846010140104624 km
11,"('Cairo', 'Egypt')","('29.7483062', '31.2200331')","('30.3209168', '31.9090054')",91.89726727213235 km
12,"('New York', 'United States')","('40.477399', '-74.25909')","('40.9161785', '-73.7001809')",67.86488217982071 km
13,"('Kolkāta', 'India')","('22.4503235', '88.2406237')","('22.6325362', '88.4589549')",30.191708942265663 km
14,"('Moscow', 'Russia')","('55.4913076', '37.290502')","('55.9577717', '37.9674277')",67.12941221302417 km
15,"('Bangkok', 'Thailand')","('13.5944238', '100.3330399')","('13.9144238', '100.6530399')",49.50851529376643 km
16,"('Buenos Aires', 'Argentina')","('-34.705637', '-58.5314494')","('-34.5265535', '-58.3351423')",26.810616264857174 km
17,"('Shenzhen', 'China')","('22.2573262', '113.6793565')","('22.8644043', '114.6461877')",120.03122802445176 km
18,"('Dhaka', 'Bangladesh')","('23.650651', '90.2526466')","('23.970651', '90.5726466')",48.16011961031384 km
19,"('Lagos', 'Nigeria')","('6.2950575', '3.2341795')","('6.6150575', '3.5541795')",50.053341907521165 km
20,"('Istanbul', 'Turkey')","('40.8496334', '28.8051646')","('41.1696334', '29.1251646')",44.58188250864914 km
21,"('Ōsaka', 'Japan')","('34.586154', '135.3099784')","('34.768849', '135.59935')",33.377207340945425 km
22,"('Karachi', 'Pakistan')","('24.6008516', '66.4154565')","('25.676796', '67.5554108')",165.58450163515872 km
23,"('Bangalore', 'India')","('12.8340125', '77.4601025')","('13.1436649', '77.7840515')",49.078651772418894 km
24,"('Tehran', 'Iran')","('35.6028535', '51.0890493')","('35.8284702', '51.6063007')",53.07792815514885 km
25,"('Kinshasa', 'Congo (Kinshasa)')","('-5.0325362', '15.1282208')","('-3.9276112', '16.5341234')",198.17485223186716 km
26,"('Ho Chi Minh City', 'Vietnam')","('10.1399458', '106.3567159')","('11.1595357', '107.0276712')",134.56720546118922 km
27,"('Los Angeles', 'United States')","('33.659541', '-118.6681776')","('34.337306', '-118.1552947')",88.86535495186281 km
28,"('Rio de Janeiro', 'Brazil')","('-23.0827051', '-43.796252')","('-22.7460878', '-43.0990811')",80.65250648755976 km
29,"('Nanyang', 'China')","('32.271201', '110.9761698')","('33.8019402', '113.8090804')",314.3866084220025 km
