,"City, Country",City,City clean,Country clean,Country 1,Country 2,Lat-Long 1,Lat-Long 2,Box size,Tag,Lat1,Long1,Lat2,Long2,output_name,New City,Samp_Lat,Samp_Long,recall,precision
0,"('Athens', 'United States')",('Athens',Athens,United States, 'United States'),,"('33.8480209', '-83.5374696')","('34.039466', '-83.2408342')",34.68342246325168 km,Urban,33.8480209,-83.5374696,34.039466,-83.2408342,output/Athens.json,Athens,33.943743,-83.389152,0.051364,0.682638
1,"('Birmingham', 'United States')",('Birmingham',Birmingham,United States, 'United States'),,"('33.38376', '-87.122124')","('33.678715', '-86.57815')",60.194985802811665 km,Urban,33.38376,-87.122124,33.678715,-86.57815,output/Birmingham.json,Birmingham,33.531238,-86.850137,0.496382,0.663969
2,"('Columbus', 'United States')",('Columbus',Columbus,United States, 'United States'),,"('39.8086936', '-83.2101797')","('40.157272', '-82.7713119')",53.881254553195134 km,Urban,39.8086936,-83.2101797,40.157272,-82.7713119,output/Columbus.json,Columbus,39.982983,-82.990746,0.595687,0.693447
3,"('Troy', 'United States')",('Troy',Troy,United States, 'United States'),,"('42.5338119', '-83.209216')","('42.62421', '-83.086882')",14.202162470924735 km,Urban,42.5338119,-83.209216,42.62421,-83.086882,output/Troy.json,Troy,42.579011,-83.148049,0.346029,0.197299
4,"('Little Rock', 'United States')",('Little Rock',Little Rock,United States, 'United States'),,"('34.6256657', '-92.5215905')","('34.8218226', '-92.1506554')",40.34668126613217 km,Urban,34.6256657,-92.5215905,34.8218226,-92.1506554,output/LittleRock.json,LittleRock,34.723744,-92.336123,0.65196,0.88664
5,"('Newport', 'United States')",('Newport',Newport,United States, 'United States'),,"('41.448967', '-71.363448')","('41.5231244', '-71.285086')",10.51963341143305 km,Urban,41.448967,-71.363448,41.5231244,-71.285086,output/Newport.json,Newport,41.486046,-71.324267,0.298012,0.779847
6,"('Concord', 'United States')",('Concord',Concord,United States, 'United States'),,"('43.151787', '-71.66871')","('43.309816', '-71.4567655')",24.590026236793314 km,Urban,43.151787,-71.66871,43.309816,-71.4567655,output/Concord.json,Concord,43.230802,-71.562738,0.053743,0.586138
7,"('New York', 'United States')",('New York',New York,United States, 'United States'),,"('40.477399', '-74.25909')","('40.9161785', '-73.7001809')",67.86488217982071 km,Urban,40.477399,-74.25909,40.9161785,-73.7001809,output/NewYork.json,NewYork,40.696789,-73.979635,0.532227,0.579793
8,"('Los Angeles', 'United States')",('Los Angeles',Los Angeles,United States, 'United States'),,"('33.659541', '-118.6681776')","('34.337306', '-118.1552947')",88.86535495186281 km,Urban,33.659541,-118.6681776,34.337306,-118.1552947,output/LosAngeles.json,LosAngeles,33.998424,-118.411736,0.168323,0.300232
9,"('Phoenix', 'United States')",('Phoenix',Phoenix,United States, 'United States'),,"('33.2903739', '-112.3240289')","('33.9183794', '-111.9255201')",78.86571539387378 km,Urban,33.2903739,-112.3240289,33.9183794,-111.9255201,output/Phoenix.json,Phoenix,33.604377,-112.124774,0.728993,0.926753
